,select,amazon_url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
130,TRUE,https://www.amazon.com/gp/most-wished-for/office-products/490589011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Paper Trimmers,Stack & Guillotine Trimmers,,
131,TRUE,https://www.amazon.com/gp/most-wished-for/office-products/490590011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Paper Trimmers,Trimmer Blades,,
132,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262718011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Rotary Cutters,,,
133,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/689392011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Cutting Tools,Scissors,,,
134,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/7756216011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Face Painting,,,,
135,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090826011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Feathers & Boas,,,,
136,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298704011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Glitter,,,,
137,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298705011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Gold & Metal Leaf,,,,
138,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090828011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Macrame & Knotting,,,,
139,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090830011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Pipe Cleaners,,,,
140,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090834011,"Arts, Crafts & Sewing",Craft Supplies,Craft Supplies,Wiggle Eyes,,,,
141,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262606011,"Arts, Crafts & Sewing",Craft Supplies,Doll Making,,,,,
142,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12899411,"Arts, Crafts & Sewing",Craft Supplies,Fabric Ribbons,,,,,
143,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262607011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,,,,,
144,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090858011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Floral Foam,,,,
145,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090862011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Floral Moss,,,,
146,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090854011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Floral Picks,,,,
147,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090856011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Floral Tapes & Wraps,,,,
148,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090860011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Frogs & Kenzans,,,,
149,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8149151011,"Arts, Crafts & Sewing",Craft Supplies,Floral Arranging,Vase Fillers,,,,
150,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897111,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,,,,,
151,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897121,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Lacing Needles,,,,
152,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090866011,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Leather Cord & Lacing,,,,
153,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897151,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,"Leather Strips, Shapes, & Scraps",,,,
154,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897141,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Leathercraft Accessories,,,,
155,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/8090872011,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Leathercraft Rivets,,,,
156,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897161,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Stamping & Punching,,,,
157,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933718011,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Stamping & Punching,Stamping,,,
158,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933719011,"Arts, Crafts & Sewing",Craft Supplies,Leathercraft,Stamping & Punching,Punching,,,
159,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262611011,"Arts, Crafts & Sewing",Craft Supplies,Mosaic Making,,,,,
160,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897981,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,,,,,
161,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12897991,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Bookbinding,,,,
162,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/3298707011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Card Making Kits,,,,
163,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/262673011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Decoupage,,,,
164,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898461,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Embossing,,,,
165,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898471,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Embossing,Accessories,,,
166,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898481,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Embossing,Embossers,,,
167,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/7756224011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Embossing,Embossing Folders,,,
168,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898491,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Embossing,Tools & Tool Sets,,,
169,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/12898111,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Paper,,,,
170,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/490730011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Paper,Art Tissue & Crepe Paper,,,
171,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933722011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Paper,Art Tissue & Crepe Paper,Art Tissue,,
172,TRUE,https://www.amazon.com/gp/most-wished-for/arts-crafts/2933723011,"Arts, Crafts & Sewing",Craft Supplies,Paper & Paper Crafts,Paper,Art Tissue & Crepe Paper,Crepe Paper,,
